Source,Target,Weight
n15,n13,1.0
n15,n16,1.0
n15,n17,1.0
n15,n29,1.0
n16,n9,1.0
n16,n11,1.0
n16,n12,1.0
n16,n15,1.0
n16,n22,1.0
n16,n26,1.0
n16,n27,1.0
n16,n28,1.0
n16,n29,1.0
n16,n33,1.0
n17,n1,1.0
n17,n2,1.0
n17,n3,1.0
n17,n4,1.0
n17,n5,1.0
n17,n7,1.0
n17,n8,1.0
n17,n9,1.0
n17,n10,1.0
n17,n12,1.0
n17,n14,1.0
n17,n16,1.0
n17,n18,1.0
n17,n19,1.0
n17,n24,1.0
n17,n26,1.0
n17,n28,1.0
n18,n4,1.0
n18,n6,1.0
n18,n17,1.0
n18,n21,1.0
n18,n22,1.0
n18,n23,1.0
n18,n28,1.0
n18,n29,1.0
n19,n4,1.0
n19,n6,1.0
n19,n12,1.0
n19,n17,1.0
n19,n21,1.0
n19,n23,1.0
n19,n27,1.0
n19,n28,1.0
n19,n29,1.0
n20,n4,1.0
n20,n19,1.0
n20,n22,1.0
n20,n23,1.0
n20,n24,1.0
n20,n27,1.0
n21,n4,1.0
n21,n18,1.0
n21,n19,1.0
n21,n22,1.0
n21,n23,1.0
n21,n24,1.0
n21,n26,1.0
n21,n27,1.0
n22,n16,1.0
n22,n19,1.0
n22,n21,1.0
n22,n28,1.0
n22,n29,1.0
n23,n4,1.0
n23,n19,1.0
n23,n21,1.0
n23,n26,1.0
n23,n27,1.0
n24,n9,1.0
n24,n10,1.0
n24,n17,1.0
n24,n20,1.0
n24,n21,1.0
n24,n25,1.0
n24,n26,1.0
n24,n27,1.0
n24,n28,1.0
n24,n29,1.0
n25,n22,1.0
n25,n24,1.0
n25,n26,1.0
n25,n27,1.0
n25,n29,1.0
n26,n2,1.0
n26,n4,1.0
n26,n7,1.0
n26,n9,1.0
n26,n12,1.0
n26,n16,1.0
n26,n17,1.0
n26,n19,1.0
n26,n21,1.0
n26,n22,1.0
n26,n23,1.0
n26,n24,1.0
n26,n25,1.0
n26,n29,1.0
n26,n34,1.0
n26,n43,1.0
n26,n44,1.0
n27,n4,1.0
n27,n16,1.0
n27,n17,1.0
n27,n19,1.0
n27,n20,1.0
n27,n21,1.0
n27,n22,1.0
n27,n23,1.0
n27,n24,1.0
n27,n25,1.0
n27,n29,1.0
n27,n44,1.0
n28,n1,1.0
n28,n2,1.0
n28,n3,1.0
n28,n5,1.0
n28,n7,1.0
n28,n8,1.0
n28,n9,1.0
n28,n10,1.0
n28,n11,1.0
n28,n12,1.0
n28,n14,1.0
n28,n15,1.0
n28,n16,1.0
n28,n17,1.0
n28,n22,1.0
n28,n24,1.0
n28,n29,1.0
n28,n38,1.0
n28,n39,1.0
n28,n44,1.0
n29,n4,1.0
n29,n8,1.0
n29,n9,1.0
n29,n12,1.0
n29,n14,1.0
n29,n15,1.0
n29,n16,1.0
n29,n18,1.0
n29,n19,1.0
n29,n22,1.0
n29,n24,1.0
n29,n25,1.0
n29,n26,1.0
n29,n27,1.0
n29,n28,1.0
n29,n36,1.0
n29,n37,1.0
n29,n38,1.0
n29,n43,1.0
n29,n44,1.0
n30,n14,1.0
n30,n31,1.0
n30,n32,1.0
n30,n33,1.0
n30,n36,1.0
n30,n38,1.0
n31,n30,1.0
n31,n32,1.0
n31,n33,1.0
n31,n36,1.0
n32,n14,1.0
n32,n30,1.0
n32,n31,1.0
n32,n33,1.0
n32,n34,1.0
n32,n36,1.0
n32,n37,1.0
n32,n39,1.0
n33,n14,1.0
n33,n30,1.0
n33,n31,1.0
n33,n32,1.0
n33,n34,1.0
n33,n36,1.0
n33,n37,1.0
n33,n38,1.0
n33,n39,1.0
n33,n40,1.0
n34,n12,1.0
n34,n14,1.0
n34,n32,1.0
n34,n33,1.0
n34,n35,1.0
n34,n36,1.0
n34,n37,1.0
n34,n38,1.0
n34,n39,1.0
n34,n40,1.0
n35,n34,1.0
n35,n36,1.0
n35,n37,1.0
n35,n41,1.0
n36,n14,1.0
n36,n30,1.0
n36,n31,1.0
n36,n32,1.0
n36,n33,1.0
n36,n35,1.0
n36,n37,1.0
n36,n39,1.0
n36,n41,1.0
n36,n42,1.0
n37,n14,1.0
n37,n16,1.0
n37,n29,1.0
n37,n34,1.0
n37,n35,1.0
n37,n36,1.0
n37,n38,1.0
n37,n39,1.0
n37,n40,1.0
n37,n41,1.0
n38,n14,1.0
n38,n30,1.0
n38,n33,1.0
n38,n34,1.0
n38,n36,1.0
n38,n37,1.0
n38,n39,1.0
n38,n40,1.0
n39,n12,1.0
n39,n14,1.0
n39,n16,1.0
n39,n32,1.0
n39,n33,1.0
n39,n34,1.0
n39,n36,1.0
n39,n37,1.0
n39,n38,1.0
n39,n40,1.0
n40,n9,1.0
n40,n12,1.0
n40,n14,1.0
n40,n33,1.0
n40,n34,1.0
n40,n37,1.0
n40,n38,1.0
n40,n39,1.0
n41,n35,1.0
n41,n36,1.0
n41,n37,1.0
n41,n43,1.0
n41,n44,1.0
n42,n36,1.0
n42,n41,1.0
n42,n43,1.0
n42,n44,1.0
n43,n41,1.0
n43,n42,1.0
n44,n41,1.0
n44,n42,1.0
