Source,Target,Weight
n19,n40,2.0
n19,n50,4.0
n19,n53,1.0
n19,n55,14.0
n19,n79,14.0
n20,n1,8.0
n20,n7,3.0
n20,n9,2.0
n20,n18,2.0
n20,n24,1.0
n20,n28,12.0
n20,n30,16.0
n20,n33,4.0
n20,n34,6.0
n20,n38,2.0
n20,n40,4.0
n20,n45,6.0
n20,n49,10.0
n20,n50,8.0
n20,n69,4.0
n20,n78,12.0
n21,n6,1.0
n21,n9,2.0
n21,n11,2.0
n21,n20,2.0
n21,n28,4.0
n21,n29,2.0
n21,n46,2.0
n21,n57,1.0
n21,n65,4.0
n21,n68,2.0
n21,n75,2.0
n21,n76,1.0
n22,n6,4.0
n22,n11,8.0
n22,n21,4.0
n22,n26,16.0
n22,n48,14.0
n22,n68,8.0
n22,n76,8.0
n23,n31,12.0
n23,n47,1.0
n23,n61,4.0
n24,n1,2.0
n24,n38,2.0
n24,n46,2.0
n24,n53,4.0
n25,n1,2.0
n25,n13,14.0
n25,n19,14.0
n25,n20,1.0
n25,n28,4.0
n25,n30,2.0
n25,n34,1.0
n25,n36,1.0
n25,n50,4.0
n25,n51,6.0
n25,n53,3.0
n25,n55,12.0
n25,n79,12.0
n26,n4,2.0
n26,n6,4.0
n26,n9,4.0
n26,n12,4.0
n26,n15,2.0
n26,n18,1.0
n26,n21,2.0
n26,n22,16.0
n26,n32,2.0
n26,n34,1.0
n26,n36,2.0
n26,n41,2.0
n26,n48,2.0
n26,n51,2.0
n26,n57,2.0
n26,n62,1.0
n26,n64,2.0
n26,n66,2.0
n26,n67,4.0
n26,n68,6.0
n26,n76,4.0
n27,n9,10.0
n27,n12,8.0
n27,n41,6.0
n27,n46,10.0
n27,n68,1.0
n27,n76,1.0
n28,n1,12.0
n28,n3,1.0
n28,n5,4.0
n28,n6,14.0
n28,n7,1.0
n28,n13,1.0
n28,n14,2.0
n28,n17,8.0
n28,n18,14.0
n28,n19,1.0
n28,n20,16.0
n28,n21,8.0
n28,n22,2.0
n28,n23,1.0
n28,n25,2.0
n28,n26,6.0
n28,n30,16.0
n28,n31,1.0
n28,n33,12.0
n28,n34,16.0
n28,n36,2.0
n28,n38,8.0
n28,n40,1.0
n28,n42,14.0
n28,n45,6.0
n28,n49,7.0
n28,n50,6.0
n28,n51,2.0
n28,n53,7.0
n28,n54,1.0
n28,n56,4.0
n28,n57,2.0
n28,n61,14.0
n28,n63,1.0
n28,n65,1.0
n28,n68,12.0
n28,n69,3.0
n28,n70,2.0
n28,n76,1.0
n28,n78,10.0
n28,n79,1.0
n29,n5,4.0
n29,n6,2.0
n29,n9,1.0
n29,n21,4.0
n29,n62,1.0
n29,n65,4.0
n30,n1,2.0
n30,n7,16.0
n30,n18,2.0
n30,n20,16.0
n30,n24,1.0
n30,n28,14.0
n30,n31,1.0
n30,n34,16.0
n30,n36,2.0
n30,n38,2.0
n30,n40,16.0
n30,n42,2.0
n30,n45,2.0
n30,n50,2.0
n30,n56,2.0
n30,n78,16.0
n31,n23,12.0
n32,n9,3.0
n32,n11,2.0
n32,n12,10.0
n32,n15,16.0
n32,n22,2.0
n32,n26,4.0
n32,n36,4.0
n32,n37,4.0
n32,n39,16.0
n32,n41,2.0
n32,n67,4.0
n32,n68,2.0
n32,n70,4.0
n32,n71,8.0
n32,n76,2.0
n33,n14,2.0
n33,n18,1.0
n33,n20,2.0
n33,n24,1.0
n33,n28,10.0
n33,n30,1.0
n33,n34,1.0
n33,n36,1.0
n33,n42,2.0
n33,n45,2.0
n33,n53,1.0
n33,n57,1.0
n34,n1,10.0
n34,n14,2.0
n34,n17,1.0
n34,n20,6.0
n34,n28,4.0
n34,n30,14.0
n34,n40,1.0
n34,n45,2.0
n34,n49,4.0
n34,n53,1.0
n34,n56,1.0
n34,n68,2.0
n34,n78,12.0
n35,n0,2.0
n35,n2,2.0
n35,n44,12.0
n35,n52,4.0
n35,n73,8.0
n36,n1,6.0
n36,n4,2.0
n36,n6,1.0
n36,n8,3.0
n36,n9,1.0
n36,n12,2.0
n36,n15,1.0
n36,n17,3.0
n36,n18,2.0
n36,n20,3.0
n36,n26,6.0
n36,n28,6.0
n36,n30,6.0
n36,n31,3.0
n36,n32,6.0
n36,n34,2.0
n36,n37,12.0
n36,n39,1.0
n36,n41,3.0
n36,n42,2.0
n36,n47,1.0
n36,n48,1.0
n36,n49,12.0
n36,n51,6.0
n36,n53,12.0
n36,n54,1.0
n36,n56,6.0
n36,n57,1.0
n36,n59,1.0
n36,n63,2.0
n36,n66,1.0
n36,n68,3.0
n36,n69,8.0
n36,n76,3.0
n36,n78,1.0
n36,n80,1.0
n37,n0,1.0
n37,n1,1.0
n37,n9,1.0
n37,n16,1.0
n37,n32,2.0
n37,n36,2.0
n37,n44,1.0
n37,n49,4.0
n37,n53,1.0
n37,n58,1.0
n37,n72,2.0
n37,n73,2.0
n37,n77,1.0
n38,n17,6.0
n38,n18,12.0
n38,n20,6.0
n38,n24,2.0
n38,n28,12.0
n38,n30,6.0
n38,n41,1.0
n38,n45,4.0
n38,n53,1.0
n38,n57,1.0
n39,n6,1.0
n39,n9,1.0
n39,n11,1.0
n39,n15,10.0
n39,n22,1.0
n39,n26,2.0
n39,n32,12.0
n39,n64,1.0
n39,n68,1.0
n39,n70,2.0
n39,n71,2.0
n39,n76,2.0
n40,n7,6.0
n40,n20,4.0
n40,n30,6.0
n41,n6,2.0
n41,n9,16.0
n41,n15,1.0
n41,n22,1.0
n41,n27,2.0
n41,n48,2.0
n41,n64,2.0
n41,n68,10.0
n41,n70,2.0
n41,n71,2.0
n41,n75,14.0
n41,n76,6.0
n42,n1,2.0
n42,n7,1.0
n42,n11,3.0
n42,n12,1.0
n42,n14,2.0
n42,n17,1.0
n42,n18,6.0
n42,n20,2.0
n42,n24,1.0
n42,n28,10.0
n42,n30,8.0
n42,n33,4.0
n42,n34,1.0
n42,n36,2.0
n42,n40,1.0
n42,n45,2.0
n42,n49,6.0
n42,n50,1.0
n42,n51,4.0
n42,n53,6.0
n42,n56,14.0
n42,n59,1.0
n42,n78,2.0
n43,n0,6.0
n43,n35,6.0
n43,n44,1.0
n43,n52,1.0
n43,n61,1.0
n44,n0,2.0
n44,n35,6.0
n44,n60,6.0
n45,n1,8.0
n45,n10,1.0
n45,n14,2.0
n45,n17,12.0
n45,n18,6.0
n45,n20,6.0
n45,n28,4.0
n45,n30,6.0
n45,n33,2.0
n45,n38,6.0
n45,n53,3.0
n45,n56,2.0
n45,n57,2.0
n45,n61,4.0
n45,n78,6.0
n46,n6,4.0
n46,n27,6.0
n46,n62,4.0
n46,n76,6.0
n47,n4,6.0
n47,n26,2.0
n47,n51,8.0
n47,n53,1.0
n47,n54,4.0
n47,n63,8.0
n47,n66,1.0
n47,n69,1.0
n48,n11,12.0
n48,n12,14.0
n48,n22,6.0
n48,n32,1.0
n48,n41,6.0
n48,n51,2.0
n48,n52,1.0
n48,n67,2.0
n48,n68,6.0
n48,n75,1.0
n48,n76,6.0
n49,n17,2.0
n49,n20,6.0
n49,n34,4.0
n49,n36,4.0
n49,n37,4.0
n49,n42,6.0
n49,n53,14.0
n49,n69,12.0
n50,n13,6.0
n50,n17,4.0
n50,n19,8.0
n50,n20,12.0
n50,n25,10.0
n50,n28,4.0
n50,n30,4.0
n50,n36,1.0
n50,n53,3.0
n50,n55,5.0
n50,n57,10.0
n50,n79,8.0
n51,n0,1.0
n51,n1,4.0
n51,n4,6.0
n51,n8,1.0
n51,n17,1.0
n51,n20,1.0
n51,n23,1.0
n51,n25,2.0
n51,n26,2.0
n51,n28,2.0
n51,n31,4.0
n51,n32,1.0
n51,n34,2.0
n51,n36,6.0
n51,n42,4.0
n51,n47,8.0
n51,n48,6.0
n51,n49,3.0
n51,n53,4.0
n51,n54,3.0
n51,n56,4.0
n51,n61,2.0
n51,n63,6.0
n51,n68,2.0
n51,n69,1.0
n51,n74,1.0
n51,n76,3.0
n52,n74,2.0
n53,n1,1.0
n53,n36,2.0
n53,n49,10.0
n54,n23,2.0
n54,n31,1.0
n54,n47,4.0
n54,n55,1.0
n54,n63,10.0
n55,n13,8.0
n55,n19,12.0
n55,n25,10.0
n55,n79,2.0
n56,n1,2.0
n56,n14,4.0
n56,n17,1.0
n56,n28,4.0
n56,n30,8.0
n56,n36,2.0
n56,n38,2.0
n56,n42,12.0
n56,n45,4.0
n56,n50,1.0
n56,n51,4.0
n56,n69,2.0
n56,n78,2.0
n57,n10,1.0
n57,n17,2.0
n57,n18,2.0
n57,n20,1.0
n57,n26,4.0
n57,n34,1.0
n57,n45,2.0
n57,n49,2.0
n57,n50,2.0
n57,n53,3.0
n57,n75,2.0
n58,n16,4.0
n58,n80,4.0
n59,n8,8.0
n60,n0,4.0
n60,n3,2.0
n60,n44,8.0
n60,n52,1.0
n60,n58,1.0
n60,n74,8.0
n61,n0,2.0
n61,n1,2.0
n61,n6,1.0
n61,n8,1.0
n61,n9,1.0
n61,n17,3.0
n61,n20,5.0
n61,n22,1.0
n61,n23,6.0
n61,n24,3.0
n61,n26,1.0
n61,n28,12.0
n61,n30,3.0
n61,n31,1.0
n61,n36,1.0
n61,n41,1.0
n61,n45,4.0
n61,n48,2.0
n61,n51,2.0
n61,n53,1.0
n61,n54,1.0
n61,n56,1.0
n61,n60,1.0
n61,n62,2.0
n61,n63,2.0
n61,n64,1.0
n61,n68,4.0
n61,n69,10.0
n61,n73,2.0
n61,n74,14.0
n61,n75,1.0
n61,n76,1.0
n61,n78,1.0
n61,n79,2.0
n62,n6,8.0
n62,n46,8.0
n62,n76,8.0
n63,n4,12.0
n63,n23,1.0
n63,n31,3.0
n63,n47,10.0
n63,n51,6.0
n63,n54,12.0
n64,n9,2.0
n64,n41,2.0
n65,n5,6.0
n65,n21,2.0
n65,n29,2.0
n66,n4,2.0
n66,n57,2.0
n67,n4,10.0
n67,n5,4.0
n67,n6,6.0
n67,n9,6.0
n67,n11,2.0
n67,n12,4.0
n67,n15,1.0
n67,n22,3.0
n67,n26,6.0
n67,n27,1.0
n67,n32,2.0
n67,n39,2.0
n67,n41,1.0
n67,n48,6.0
n67,n65,1.0
n67,n68,6.0
n67,n76,6.0
n68,n9,10.0
n68,n11,2.0
n68,n17,1.0
n68,n22,8.0
n68,n26,10.0
n68,n28,2.0
n68,n34,2.0
n68,n41,8.0
n68,n46,1.0
n68,n48,4.0
n68,n58,1.0
n68,n67,4.0
n68,n76,10.0
n69,n1,1.0
n69,n20,4.0
n69,n36,2.0
n69,n48,1.0
n69,n49,6.0
n69,n53,3.0
n69,n56,2.0
n69,n61,4.0
n69,n68,1.0
n69,n76,1.0
n70,n9,6.0
n70,n15,2.0
n70,n32,4.0
n70,n39,4.0
n70,n41,6.0
n70,n68,2.0
n70,n76,4.0
n71,n5,1.0
n71,n6,4.0
n71,n12,1.0
n71,n15,10.0
n71,n32,2.0
n71,n41,8.0
n71,n48,1.0
n71,n68,2.0
n71,n75,2.0
n71,n76,10.0
n72,n37,2.0
n72,n80,10.0
n73,n3,8.0
n73,n35,8.0
n73,n37,6.0
n73,n58,2.0
n73,n60,2.0
n73,n74,16.0
n73,n80,10.0
n74,n3,12.0
n74,n16,1.0
n74,n37,1.0
n74,n52,8.0
n74,n60,2.0
n74,n61,8.0
n74,n73,12.0
n75,n9,14.0
n75,n41,14.0
n75,n57,8.0
n75,n71,2.0
n76,n4,2.0
n76,n6,6.0
n76,n9,4.0
n76,n11,6.0
n76,n12,4.0
n76,n15,2.0
n76,n22,2.0
n76,n26,2.0
n76,n32,4.0
n76,n39,2.0
n76,n41,2.0
n76,n46,6.0
n76,n48,4.0
n76,n62,6.0
n76,n64,1.0
n76,n67,2.0
n76,n68,10.0
n76,n70,4.0
n76,n71,4.0
n76,n75,1.0
n77,n3,10.0
n77,n16,3.0
n77,n44,2.0
n77,n58,5.0
n78,n1,4.0
n78,n17,1.0
n78,n18,4.0
n78,n20,8.0
n78,n28,4.0
n78,n30,14.0
n78,n34,16.0
n78,n38,1.0
n78,n45,2.0
n78,n53,1.0
n79,n13,4.0
n79,n19,16.0
n79,n25,12.0
n79,n50,4.0
n79,n53,1.0
n79,n55,8.0
n80,n0,1.0
n80,n37,5.0
n80,n58,8.0
n80,n72,12.0
n80,n73,6.0
n80,n74,2.0
